Activity Date,Activity Month,Activity Type,Campaign Duration (bin),Campaign ID,Campaign Name,Campaign Objective,Channel,Conversion Funnel Stage,Marketing metrics Discrete,Source,Target Audience,Visibility,AVG(0),Campaign Duration,Clicks,Conversion Rate,Conversions,Cost,Cost Per Conversion,Engagement Rate,Engagement Time,Impressions,Marketing metrics,MIN(1),Revenue,ROI
2/6/2022,February,Click,74,Campaign-6604GF,Up-sized dedicated forecast,Lead Generation,Facebook,Consideration,Impressions,Referral,New Visitors,Public,0,75,99,0.18,12,570.29,47.52416667,0.12,217,1025,1025,1,920.42,-69.06
8/26/2023,August,Engagement,11,Campaign-6475Ln,Realigned demand-driven firmware,Brand Awareness,Twitter,Decision,Impressions,Email,Segmented Audience,Public,0,14,117,0.02,12,600.48,50.04,0.86,272,1009,1009,1,767.32,128.4
2/9/2023,February,Ad Display,47,Campaign-8242Wg,Centralized multimedia hierarchy,Lead Generation,Instagram,Consideration,Impressions,Referral,Subscribers,Restricted,0,50,77,0.13,10,512.95,51.295,0.29,154,1030,1030,1,1007.48,289.22
5/16/2023,May,Click,68,Campaign-9489jt,Team-oriented upward-trending forecast,Sales Conversion,Instagram,Decision,Impressions,PPC,Subscribers,Private,0,73,105,0.02,13,408.22,31.40153846,0.91,14,1014,1014,1,1049.43,-34.94
7/8/2023,July,Engagement,42,Campaign-1157Jg,Networked clear-thinking alliance,Lead Generation,Instagram,Awareness,Impressions,PPC,Subscribers,Private,0,43,110,0.18,11,855.9,77.80909091,0.82,132,1014,1014,1,1047.36,193.97
10/25/2022,October,Engagement,37,Campaign-5659On,Ergonomic regional framework,Brand Awareness,Google Ads,Decision,Impressions,Email,Returning Customers,Restricted,0,37,95,0.17,8,773.84,96.73,0.2,127,1021,1021,1,1402.89,144.41
1/11/2022,January,Engagement,32,Campaign-8778qd,Expanded local frame,Lead Generation,LinkedIn,Decision,Impressions,PPC,Segmented Audience,Public,0,35,99,0.15,6,349.32,58.22,0.61,187,1028,1028,1,1154.66,88.69
1/3/2023,January,Engagement,11,Campaign-8016TY,Adaptive 6thgeneration interface,Lead Generation,LinkedIn,Awareness,Impressions,Email,New Visitors,Public,0,15,99,0.14,8,604.38,75.5475,0.6,297,1039,1039,1,616.09,-85.52
1/15/2023,January,Conversion,16,Campaign-0975pU,Optional neutral solution,Brand Awareness,Google Ads,Awareness,Impressions,Referral,Returning Customers,Private,0,21,124,0.08,6,501.22,83.53666667,0.32,261,976,976,1,991.16,58.84
5/3/2022,May,Conversion,74,Campaign-5139op,Advanced system-worthy concept,Sales Conversion,Instagram,Decision,Impressions,Email,New Visitors,Public,0,75,104,0.03,5,279.63,55.926,0.47,263,1017,1017,1,1646.78,113.33
